ADA,LIQ,,BRAND NAME,PROOF,SIZE,PACK,BASE,ON PREM,OFF PREM,MINIMUM,NEW/,
#,CODE,,,,IN ML,,PRICE,PRICE,PRICE,SHELF PRICE,CHNG,
AMERICAN BLEND,,,,,,,,,,,,
,,,,,,,,,,,,
221,1664,,ARISTOCRAT BLENDED WHISKEY,80.0,1000,12,7.00,6.65,6.78,7.97,,
321,127,,BANKER'S CLUB BLEND,80.0,750,12,5.65,5.38,5.48,6.44,,
321,121,,BANKER'S CLUB BLEND,80.0,1000,12,7.00,6.65,6.78,7.97,,
321,128,,BANKER'S CLUB BLEND,80.0,1750,6,12.25,11.64,11.87,13.95,,
321,287,,BEAM'S 8 STAR BLEND,80.0,750,12,5.65,5.38,5.48,6.44,,
321,89830,,BEAM'S 8 STAR BLEND,80.0,1000,12,7.45,7.08,7.22,8.49,,
321,288,,BEAM'S 8 STAR BLEND,80.0,1750,6,11.40,10.84,11.05,12.99,,
321,283,,BEAM'S 8 STAR BLEND PL,80.0,375,24,3.15,3.00,3.06,3.60,,
321,987,,CALVERT EXTRA,80.0,750,12,8.35,7.92,8.07,9.49,,
321,988,,CALVERT EXTRA,80.0,1750,6,16.20,15.40,15.70,18.45,,
321,1507,,CARSTAIRS WHITE SEAL,80.0,750,12,5.25,4.99,5.09,5.98,,
321,932,,CARSTAIRS WHITE SEAL,80.0,1000,12,6.85,6.50,6.63,7.79,,
321,1508,,CARSTAIRS WHITE SEAL,80.0,1750,6,11.40,10.84,11.05,12.99,,
221,96780,,DEUCES WILD DILUTED BLEND,70.0,1750,6,11.60,11.01,11.22,13.19,,
321,2607,,FLEISCHMANN'S PREFERRED,80.0,750,12,5.25,4.99,5.09,5.98,,
321,2608,,FLEISCHMANN'S PREFERRED,80.0,1750,6,11.40,10.84,11.05,12.99,,
321,7378,,FLEISCHMANN'S PREFERRED PL,80.0,200,48,1.65,1.58,1.61,1.89,,
321,7379,,FLEISCHMANN'S PREFERRED PL,80.0,375,24,3.00,2.85,2.91,3.42,,
321,7380,,FLEISCHMANN'S PREFERRED PL,80.0,750,12,5.25,4.99,5.09,5.98,,
321,93610,,G & W FIVE STAR,80.0,200,48,2.10,1.98,2.02,2.38,,
321,3103,,G & W FIVE STAR,80.0,375,24,3.20,3.05,3.11,3.65,,
321,3107,,G & W FIVE STAR,80.0,750,12,5.65,5.38,5.48,6.44,,
321,3101,,G & W FIVE STAR,80.0,1000,12,7.00,6.65,6.78,7.97,,
321,3108,,G & W FIVE STAR,80.0,1750,6,12.25,11.64,11.87,13.95,,
321,3097,,G & W FIVE STAR PL,80.0,750,12,5.65,5.38,5.48,6.44,,
321,3147,,G & W SEVEN STAR,80.0,750,12,7.40,7.04,7.18,8.44,,
321,3148,,G & W SEVEN STAR,80.0,1750,6,14.05,13.34,13.60,15.99,,
221,3447,,GUCKENHEIMER,80.0,750,12,5.75,5.46,5.57,6.55,,
221,3448,,GUCKENHEIMER,80.0,1750,6,12.10,11.48,11.70,13.76,,
