ADA,CODE,,BRAND NAME,PROOF,SIZE,PACK,BASE,ON PREM,OFF PREM,MINIMUM,
NO.,#,,,,IN ML,SIZE,$$,$$,$$,SHELF $$,
"NEW ITEMS: AUGUST 28,2011",,,,,,,,,,,
,,,,,,,,,,,
STRAIGHT BOURBON,,,,,,,,,,,
,,,,,,,,,,,
221,8150,,REDEMPTION HIGH-RYE BBN,92.0,750,12,21.90,20.82,21.23,24.95,
221,8152,,TEMPTATION,82.0,750,12,19.30,18.33,18.69,21.97,
,,,,,,,,,,,
STRAIGHT RYE,,,,,,,,,,,
,,,,,,,,,,,
221,8151,,RIVERBOAT RYE,80.0,750,12,15.80,15.00,15.29,17.98,
,,,,,,,,,,,
CANADIAN,,,,,,,,,,,
,,,,,,,,,,,
221,71977,,CANADIAN MIST/50ML JD TENN HON,80.0,750,12,10.50,9.97,10.16,11.95,
221,8098,,GIBSON'S-12 YR,80.0,750,12,24.55,23.32,23.77,27.94,
,,,,,,,,,,,
GIN,,,,,,,,,,,
,,,,,,,,,,,
221,8078,,G'VINE FLORAISON,80.0,50,96,3.10,2.93,2.99,3.52,
221,8079,,G'VINE FLORAISON,80.0,750,6,24.20,23.00,23.45,27.56,
221,8080,,G'VINE NOUAISON,87.8,50,96,3.45,3.28,3.34,3.93,
221,8081,,G'VINE NOUAISON,87.8,750,6,27.50,26.12,26.63,31.31,
,,,,,,,,,,,
RUM,,,,,,,,,,,
,,,,,,,,,,,
221,71981,,APPLETON EST V/X W/50ML RES,80.0,750,12,15.80,15.00,15.29,17.98,
221,71982,,APPLETON EST V/X W/50ML RES,80.0,1750,6,31.60,30.01,30.59,35.96,
221,71980,,MOHAWK WHITE W/50MLBLKHRT PL,80.0,1750,6,11.40,10.84,11.05,12.99,
221,8124,,RHUM J.M.,100.0,1000,6,23.10,21.93,22.36,26.29,
,,,,,,,,,,,
CREAM,,,,,,,,,,,
,,,,,,,,,,,
221,71983,,RUM CHATA W/COFFEE MUG,27.0,750,6,18.40,17.49,17.83,20.96,
,,,,,,,,,,,
TEQUILA,,,,,,,,,,,
,,,,,,,,,,,
221,8074,,ALIEN ANEJO,80.0,50,24,7.85,7.45,7.60,8.93,
221,8084,,BLUE NECTAR REPOSADO,80.0,50,60,2.60,2.46,2.51,2.95,
221,8085,,BLUE NECTAR REPOSADO,80.0,750,6,36.85,35.00,35.68,41.94,
221,8086,,BLUE NECTAR SILVER,80.0,50,60,2.60,2.46,2.51,2.95,
221,8087,,BLUE NECTAR SILVER,80.0,750,6,34.25,32.54,33.17,38.99,
221,8088,,BLUE NECTAR SPECIAL RESERVE,80.0,50,60,2.60,2.46,2.51,2.95,
221,8089,,BLUE NECTAR SPECIAL RESERVE,80.0,750,6,41.25,39.19,39.95,46.96,
221,71984,,EL JIMADOR BLANCO/50ML REPOSAD,80.0,375,12,8.75,8.31,8.47,9.96,
